id_ajuste,id_pago,id_prestamo,metodo_pago,referencia,monto_original,monto_redondeado,regla_aplicada,usuario_id,fecha_registro
1,,1360,Efectivo,PAGO-GENERAL-1360,0.00,8.00,REMANENTE_NO_APLICADO,111113612004634,2026-04-01 22:44:55
2,,1303,Efectivo,PAGO-GENERAL-1303,0.00,9.00,REMANENTE_NO_APLICADO,111113612004634,2026-04-02 16:40:51
3,,1020,Efectivo,PAGO-GENERAL-1020,0.00,0.40,REMANENTE_NO_APLICADO,111113612004634,2026-04-02 16:41:28
4,15734,1645,Efectivo,PAGO-15734,587.90,588.00,REDONDEO_ARRIBA,111113612004634,2026-04-06 16:47:04
5,15735,1645,Efectivo,PAGO-15735,587.90,588.00,REDONDEO_ARRIBA,111113612004634,2026-04-06 16:47:18
6,15782,1646,Efectivo,PAGO-15782,299.90,300.00,REDONDEO_ARRIBA,111113612004634,2026-04-06 17:42:39
7,15783,1646,Efectivo,PAGO-15783,299.90,300.00,REDONDEO_ARRIBA,111113612004634,2026-04-06 17:42:49
8,15784,1646,Efectivo,PAGO-15784,299.90,300.00,REDONDEO_ARRIBA,111113612004634,2026-04-06 17:43:00
9,15785,1646,Efectivo,PAGO-15785,299.90,300.00,REDONDEO_ARRIBA,111113612004634,2026-04-06 17:43:11
10,15786,1646,Efectivo,PAGO-15786,299.90,300.00,REDONDEO_ARRIBA,111113612004634,2026-04-06 17:43:21
11,15787,1646,Efectivo,PAGO-15787,299.90,300.00,REDONDEO_ARRIBA,111113612004634,2026-04-06 17:43:29
12,717,876,Efectivo,PAGO-717,511.90,512.00,REDONDEO_ARRIBA,111113612004634,2026-04-07 16:29:50
13,718,876,Efectivo,PAGO-718,511.90,512.00,REDONDEO_ARRIBA,111113612004634,2026-04-07 16:30:55
14,719,876,Efectivo,PAGO-719,511.90,512.00,REDONDEO_ARRIBA,111113612004634,2026-04-07 16:31:05
15,720,876,Efectivo,PAGO-720,511.90,512.00,REDONDEO_ARRIBA,111113612004634,2026-04-07 16:31:20
16,721,876,Efectivo,PAGO-721,511.90,512.00,REDONDEO_ARRIBA,111113612004634,2026-04-07 16:31:29
17,15485,1633,Efectivo,PAGO-15485,587.90,588.00,REDONDEO_ARRIBA,111113612004634,2026-04-07 17:10:57
18,16000,1653,Efectivo,PAGO-16000,586.30,587.00,REDONDEO_ARRIBA,111113612004634,2026-04-07 18:35:01
19,15509,1634,Efectivo,PAGO-15509,299.90,300.00,REDONDEO_ARRIBA,111113612004634,2026-04-07 19:29:40
20,16025,1655,Efectivo,PAGO-16025,719.90,720.00,REDONDEO_ARRIBA,111113612004634,2026-04-07 19:35:54
21,16026,1655,Efectivo,PAGO-16026,719.90,720.00,REDONDEO_ARRIBA,111113612004634,2026-04-07 19:36:02
22,16027,1655,Efectivo,PAGO-16027,719.90,720.00,REDONDEO_ARRIBA,111113612004634,2026-04-07 19:36:11
23,16028,1655,Efectivo,PAGO-16028,719.90,720.00,REDONDEO_ARRIBA,111113612004634,2026-04-07 19:36:20
24,16049,1656,Efectivo,PAGO-16049,587.90,588.00,REDONDEO_ARRIBA,111113612004634,2026-04-07 21:26:55
25,16050,1656,Efectivo,PAGO-16050,587.90,588.00,REDONDEO_ARRIBA,111113612004634,2026-04-07 21:27:02
26,722,876,Efectivo,PAGO-722,511.90,512.00,REDONDEO_ARRIBA,111113612004634,2026-04-08 14:38:57
27,15522,1635,Efectivo,PAGO-15522,399.90,400.00,REDONDEO_ARRIBA,111113612004634,2026-04-08 18:04:15
28,15155,1619,Efectivo,PAGO-15155,619.20,619.50,REDONDEO_ARRIBA,111113612004634,2026-04-08 18:44:47
29,15119,1617,Efectivo,PAGO-15119,691.20,691.50,REDONDEO_ARRIBA,111113612004634,2026-04-08 18:45:11
30,15365,1628,Efectivo,PAGO-15365,587.90,588.00,REDONDEO_ARRIBA,111113612004634,2026-04-08 18:55:31
31,15293,1625,Efectivo,PAGO-15293,587.90,588.00,REDONDEO_ARRIBA,111113612004634,2026-04-08 19:02:00
