id_archivo,url,nombre_archivo,tipo,origen,tamano_bytes,estatus,id_usuario,fecha_generacion,metadata
1,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260401204037_645.pdf,Prestamos/pagare_grupal/111113612004634_20260401204037_645.pdf,PAGARE_GRUPAL,PRESTAMOS,71675,Generado,111113612004634,2026-04-01 20:40:37,[object Object]
2,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260401211943_624.pdf,Prestamos/pagare_grupal/111113612004634_20260401211943_624.pdf,PAGARE_GRUPAL,PRESTAMOS,70459,Generado,111113612004634,2026-04-01 21:19:44,[object Object]
3,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260401224822_10.pdf,Prestamos/pagare_grupal/111113612004634_20260401224822_10.pdf,PAGARE_GRUPAL,PRESTAMOS,71646,Generado,111113612004634,2026-04-01 22:48:23,[object Object]
4,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260402145335_469.pdf,Prestamos/pagare_grupal/111113612004634_20260402145335_469.pdf,PAGARE_GRUPAL,PRESTAMOS,70230,Generado,111113612004634,2026-04-02 14:53:35,[object Object]
5,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260402153741_708.pdf,Prestamos/pagare_grupal/111113612004634_20260402153741_708.pdf,PAGARE_GRUPAL,PRESTAMOS,70230,Generado,111113612004634,2026-04-02 15:37:41,[object Object]
6,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260402155542_41.pdf,Prestamos/pagare_grupal/111113612004634_20260402155542_41.pdf,PAGARE_GRUPAL,PRESTAMOS,70243,Generado,111113612004634,2026-04-02 15:55:42,[object Object]
7,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260402160658_868.pdf,Prestamos/pagare_grupal/111113612004634_20260402160658_868.pdf,PAGARE_GRUPAL,PRESTAMOS,70271,Generado,111113612004634,2026-04-02 16:06:58,[object Object]
8,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260402161559_887.pdf,Prestamos/pagare_grupal/111113612004634_20260402161559_887.pdf,PAGARE_GRUPAL,PRESTAMOS,70235,Generado,111113612004634,2026-04-02 16:16:00,[object Object]
9,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260402162311_916.pdf,Prestamos/pagare_grupal/111113612004634_20260402162311_916.pdf,PAGARE_GRUPAL,PRESTAMOS,70224,Generado,111113612004634,2026-04-02 16:23:12,[object Object]
10,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260402171102_526.pdf,Prestamos/pagare_grupal/111113612004634_20260402171102_526.pdf,PAGARE_GRUPAL,PRESTAMOS,70641,Generado,111113612004634,2026-04-02 17:11:03,[object Object]
11,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260402175858_500.pdf,Prestamos/pagare_grupal/111113612004634_20260402175858_500.pdf,PAGARE_GRUPAL,PRESTAMOS,70233,Generado,111113612004634,2026-04-02 17:58:58,[object Object]
12,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260402180713_307.pdf,Prestamos/pagare_grupal/111113612004634_20260402180713_307.pdf,PAGARE_GRUPAL,PRESTAMOS,70225,Generado,111113612004634,2026-04-02 18:07:13,[object Object]
13,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260402180832_449.pdf,Prestamos/pagare_grupal/111113612004634_20260402180832_449.pdf,PAGARE_GRUPAL,PRESTAMOS,70221,Generado,111113612004634,2026-04-02 18:08:33,[object Object]
14,https://fooaxstorage.sfo3.digitaloceanspaces.com/Creditos/pagare_centro/111113612004634_20260406220417_673.pdf,Creditos/pagare_centro/111113612004634_20260406220417_673.pdf,PAGARE_CENTRO,CREDITOS,77552,Generado,111113612004634,2026-04-06 22:04:17,[object Object]
15,/pagares/centers/26,pagare_SAN_PABLO_HUITZO.pdf,PDF,PAGARE_CENTER,,Generado,111113612004634,2026-04-06 22:04:17,[object Object]
16,https://fooaxstorage.sfo3.digitaloceanspaces.com/Creditos/pagare_centro/111113612004634_20260407215815_223.pdf,Creditos/pagare_centro/111113612004634_20260407215815_223.pdf,PAGARE_CENTRO,CREDITOS,83254,Generado,111113612004634,2026-04-07 21:58:15,[object Object]
17,/pagares/centers/24,pagare_LA_CONSENTIDA.pdf,PDF,PAGARE_CENTER,,Generado,111113612004634,2026-04-07 21:58:15,[object Object]
18,https://fooaxstorage.sfo3.digitaloceanspaces.com/Creditos/pagare_centro/111113612004634_20260407220449_151.pdf,Creditos/pagare_centro/111113612004634_20260407220449_151.pdf,PAGARE_CENTRO,CREDITOS,83256,Generado,111113612004634,2026-04-07 22:04:49,[object Object]
19,/pagares/centers/24,pagare_LA_CONSENTIDA.pdf,PDF,PAGARE_CENTER,,Generado,111113612004634,2026-04-07 22:04:49,[object Object]
20,https://fooaxstorage.sfo3.digitaloceanspaces.com/Creditos/pagare_centro/111113612004634_20260407221208_520.pdf,Creditos/pagare_centro/111113612004634_20260407221208_520.pdf,PAGARE_CENTRO,CREDITOS,71700,Generado,111113612004634,2026-04-07 22:12:08,[object Object]
21,/pagares/centers/28,pagare_CAPORALES.pdf,PDF,PAGARE_CENTER,,Generado,111113612004634,2026-04-07 22:12:08,[object Object]
22,https://fooaxstorage.sfo3.digitaloceanspaces.com/Creditos/pagare_centro/111113612004634_20260408224510_614.pdf,Creditos/pagare_centro/111113612004634_20260408224510_614.pdf,PAGARE_CENTRO,CREDITOS,71705,Generado,111113612004634,2026-04-08 22:45:11,[object Object]
23,/pagares/centers/47,pagare_GHANIMA.pdf,PDF,PAGARE_CENTER,,Generado,111113612004634,2026-04-08 22:45:11,[object Object]
