id_diferencia,id_pago,id_prestamo,monto_esperado,monto_recibido,diferencia,tipo_diferencia,metodo_pago,motivo,observaciones,id_usuario_registro,fecha_registro,fecha_autorizacion,id_usuario_autorizacion,estado
1,16000,1653,587.90,587.20,0.70,ABONO_ANTICIPADO,Efectivo,,Exceso de $0.70 aplicado automáticamente al pago (2026-04-14 00:00:00). Monto reducido de $587.90 a $587.20,111113612004634,2026-04-07 18:35:01,,,AUTORIZADO
2,1281,896,0.00,0.80,0.80,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.80 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 17:09:08,,,AUTORIZADO
3,1282,896,0.00,0.92,0.92,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.92 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 17:09:23,,,AUTORIZADO
4,1420,903,0.00,0.80,0.80,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.80 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 17:26:34,,,AUTORIZADO
5,1435,904,0.00,0.76,0.76,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.76 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 17:29:50,,,AUTORIZADO
6,15160,1619,0.00,0.97,0.97,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.97 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 17:37:24,,,AUTORIZADO
7,15162,1619,0.00,0.80,0.80,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.80 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 17:38:49,,,AUTORIZADO
8,15179,1620,0.00,0.92,0.92,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.92 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 17:42:17,,,AUTORIZADO
9,7173,1196,0.00,0.80,0.80,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.80 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 17:49:53,,,AUTORIZADO
10,7198,1197,0.00,0.80,0.80,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.80 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 17:54:59,,,AUTORIZADO
11,7212,1198,0.00,0.80,0.80,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.80 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 17:55:58,,,AUTORIZADO
12,15195,1621,0.00,0.80,0.80,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.80 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 17:57:22,,,AUTORIZADO
13,15297,1625,0.00,0.91,0.91,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.91 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:00:39,,,AUTORIZADO
14,18274,1760,0.00,0.92,0.92,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.92 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:01:59,,,AUTORIZADO
15,18275,1760,0.00,0.87,0.87,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.87 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:02:14,,,AUTORIZADO
16,18276,1760,0.00,0.81,0.81,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.81 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:02:39,,,AUTORIZADO
17,18277,1760,0.00,0.76,0.76,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.76 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:02:52,,,AUTORIZADO
18,17869,1741,0.00,0.77,0.77,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.77 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:04:25,,,AUTORIZADO
19,17331,1714,0.00,0.80,0.80,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.80 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:13:04,,,AUTORIZADO
20,10596,1367,0.00,0.80,0.80,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.80 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:13:44,,,AUTORIZADO
21,16260,1664,0.00,0.80,0.80,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.80 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:15:32,,,AUTORIZADO
22,16323,1667,0.00,0.91,0.91,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.91 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:16:08,,,AUTORIZADO
23,16371,1668,0.00,0.91,0.91,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.91 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:17:24,,,AUTORIZADO
24,16276,1671,0.00,0.91,0.91,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.91 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:21:26,,,AUTORIZADO
25,16348,1666,0.00,0.91,0.91,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.91 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:22:34,,,AUTORIZADO
26,17354,1715,0.00,0.71,0.71,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.71 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:25:57,,,AUTORIZADO
27,18166,1755,0.00,0.84,0.84,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.84 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:27:15,,,AUTORIZADO
28,18752,1782,0.00,0.80,0.80,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.80 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:29:12,,,AUTORIZADO
29,17373,1716,0.00,0.72,0.72,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.72 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:29:54,,,AUTORIZADO
30,17374,1716,0.00,0.80,0.80,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.80 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:30:06,,,AUTORIZADO
31,18732,1781,0.00,0.72,0.72,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.72 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:30:53,,,AUTORIZADO
32,18733,1781,0.00,0.80,0.80,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.80 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:31:05,,,AUTORIZADO
33,2354,938,0.00,0.76,0.76,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.76 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:31:47,,,AUTORIZADO
34,2370,939,0.00,0.76,0.76,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.76 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:32:56,,,AUTORIZADO
35,2392,940,0.00,0.76,0.76,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.76 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:34:40,,,AUTORIZADO
36,2410,941,0.00,0.76,0.76,EXCESO_SIN_APLICAR,Efectivo,,Pago en exceso de $0.76 sin siguiente cuota disponible. Último pago del préstamo.,111113612607048,2026-06-03 18:35:50,,,AUTORIZADO
