id_alerta_evento,tipo_evento,codigo_alerta,severidad,mensaje,detalle,modo_politica,contexto,id_movimiento,id_ahorro,id_cliente,id_prestamo,id_usuario,fecha_evento,fecha_movimiento_referencia,ip_origen
2,procedida,DEPOSITO_SIN_PRESTAMO,warning,El cliente no tiene un préstamo activo en la fecha del depósito.,[object Object],advertencia,creacion_deposito,,457,11113064631,,111113612603105,2026-06-25 19:00:33,2026-06-25,
4,procedida,DEPOSITO_SIN_PRESTAMO,warning,El cliente no tiene un préstamo activo en la fecha del depósito.,[object Object],advertencia,creacion_deposito,,340,11112888569,,1111111111111111,2026-06-27 15:16:12,2026-06-26,
6,procedida,DEPOSITO_SIN_PRESTAMO,warning,El cliente no tiene un préstamo activo en la fecha del depósito.,[object Object],advertencia,creacion_deposito,,344,11112965092,,1111111111111111,2026-06-27 15:16:16,2026-06-26,
8,procedida,DEPOSITO_SIN_PRESTAMO,warning,El cliente no tiene un préstamo activo en la fecha del depósito.,[object Object],advertencia,creacion_deposito,,265,11112961397,,1111111111111111,2026-06-27 15:18:41,2026-06-26,
10,procedida,DEPOSITO_SIN_PRESTAMO,warning,El cliente no tiene un préstamo activo en la fecha del depósito.,[object Object],advertencia,creacion_deposito,,265,11112961397,,111113612603105,2026-06-29 17:15:15,2026-06-29,
11,procedida,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],advertencia,retiro_individual,4206,265,11112961397,,111113612603105,2026-06-29 17:29:49,2026-06-29,
12,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1660 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_individual,4210,49,11112896316,1660,111113612603105,2026-06-29 19:41:51,2026-06-29,
13,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2006 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4214,253,11112724518,2006,111113612603105,2026-06-29 23:13:54,2026-06-29,
14,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1998 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4216,6,11113034548,1998,111113612603105,2026-06-29 23:27:03,2026-06-29,
15,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1952 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4277,229,11112777460,1952,111113612603105,2026-06-30 16:45:54,2026-06-30,
16,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1996 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4278,234,11113072620,1996,111113612603105,2026-06-30 16:45:54,2026-06-30,
18,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1996 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4278,234,11113072620,1996,111113612603105,2026-07-01 16:52:04,2026-06-29,
20,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1952 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4277,229,11112777460,1952,111113612603105,2026-07-01 16:52:26,2026-07-01,
