id_alerta_procedida,codigo_alerta,severidad,mensaje,detalle,contexto,id_movimiento,id_ahorro,id_cliente,id_prestamo,id_usuario,fecha_evento,fecha_movimiento_referencia,ip_origen
1,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3095,263,11112837047,,1111111111111111,2026-06-06 14:36:02,2026-06-02,89.222.103.194
2,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3096,262,11112815237,,1111111111111111,2026-06-06 14:36:02,2026-06-02,89.222.103.194
3,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3097,428,11112913368,,1111111111111111,2026-06-06 14:36:02,2026-06-02,89.222.103.194
4,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3098,427,11112949301,,1111111111111111,2026-06-06 14:36:02,2026-06-02,89.222.103.194
5,LOAN_NOT_RELEASED,warning,El préstamo #1878 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3099,246,11112792952,1878,1111111111111111,2026-06-06 14:36:50,2026-06-02,89.222.103.194
6,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3101,321,11112932922,,1111111111111111,2026-06-06 14:38:55,2026-06-02,89.222.103.194
7,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3102,322,11113052405,,1111111111111111,2026-06-06 14:38:55,2026-06-02,89.222.103.194
8,SALIDA_PRESTAMO_PREVIO,warning,Ya hubo al menos una salida confirmada en un préstamo anterior de este cliente.,[object Object],retiro_grupal,3103,167,11112938387,1775,1111111111111111,2026-06-06 14:40:03,2026-06-02,89.222.103.194
9,LOAN_NOT_RELEASED,warning,El préstamo #1775 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3103,167,11112938387,1775,1111111111111111,2026-06-06 14:40:03,2026-06-02,89.222.103.194
10,LOAN_NOT_RELEASED,warning,El préstamo #1879 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3104,165,11113218407,1879,1111111111111111,2026-06-06 14:40:03,2026-06-02,89.222.103.194
11,LOAN_NOT_RELEASED,warning,El préstamo #1882 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3105,64,11113192667,1882,1111111111111111,2026-06-06 14:40:31,2026-06-02,89.222.103.194
12,LOAN_NOT_RELEASED,warning,El préstamo #1906 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_individual,3106,38,11112721007,1906,1111111111111111,2026-06-06 14:41:15,2026-06-02,89.222.103.194
13,LOAN_NOT_RELEASED,warning,El préstamo #1917 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_individual,3107,43,11112862419,1917,1111111111111111,2026-06-06 14:41:47,2026-06-02,89.222.103.194
14,LOAN_NOT_RELEASED,warning,El préstamo #1917 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3107,43,11112862419,1917,1111111111111111,2026-06-06 14:43:01,2026-06-02,89.222.103.194
15,LOAN_NOT_RELEASED,warning,El préstamo #1906 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3106,38,11112721007,1906,1111111111111111,2026-06-06 14:43:10,2026-06-02,89.222.103.194
16,LOAN_NOT_RELEASED,warning,El préstamo #1882 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3105,64,11113192667,1882,1111111111111111,2026-06-06 14:43:17,2026-06-02,89.222.103.194
17,LOAN_NOT_RELEASED,warning,El préstamo #1879 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3104,165,11113218407,1879,1111111111111111,2026-06-06 14:43:26,2026-06-02,89.222.103.194
18,SALIDA_PRESTAMO_PREVIO,warning,Ya hubo al menos una salida confirmada en un préstamo anterior de este cliente.,[object Object],confirmacion_movimiento,3103,167,11112938387,1775,1111111111111111,2026-06-06 14:43:38,2026-06-02,89.222.103.194
19,LOAN_NOT_RELEASED,warning,El préstamo #1775 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3103,167,11112938387,1775,1111111111111111,2026-06-06 14:43:38,2026-06-02,89.222.103.194
20,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],confirmacion_movimiento,3102,322,11113052405,,1111111111111111,2026-06-06 14:43:44,2026-06-02,89.222.103.194
21,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],confirmacion_movimiento,3101,321,11112932922,,1111111111111111,2026-06-06 14:44:00,2026-06-02,89.222.103.194
22,LOAN_NOT_RELEASED,warning,El préstamo #1878 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3099,246,11112792952,1878,1111111111111111,2026-06-06 14:44:12,2026-06-02,89.222.103.194
23,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],confirmacion_movimiento,3098,427,11112949301,,1111111111111111,2026-06-06 14:44:19,2026-06-02,89.222.103.194
24,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],confirmacion_movimiento,3097,428,11112913368,,1111111111111111,2026-06-06 14:44:24,2026-06-02,89.222.103.194
25,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],confirmacion_movimiento,3096,262,11112815237,,1111111111111111,2026-06-06 14:44:30,2026-06-02,89.222.103.194
26,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],confirmacion_movimiento,3095,263,11112837047,,1111111111111111,2026-06-06 14:44:35,2026-06-02,89.222.103.194
27,LOAN_NOT_RELEASED,warning,El préstamo #1147 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3113,140,11112732871,1147,111113612603105,2026-06-06 17:03:37,2026-06-06,89.222.103.194
28,LOAN_NOT_RELEASED,warning,El préstamo #1894 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3114,135,11112967766,1894,111113612603105,2026-06-06 17:03:37,2026-06-06,89.222.103.194
29,LOAN_NOT_RELEASED,warning,El préstamo #1893 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3115,137,11112859053,1893,111113612603105,2026-06-06 17:03:37,2026-06-06,89.222.103.194
30,LOAN_NOT_RELEASED,warning,El préstamo #1925 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3123,324,11112931340,1925,111113612603105,2026-06-08 15:49:44,2026-06-08,89.222.103.194
31,LOAN_NOT_RELEASED,warning,El préstamo #1922 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3124,151,11112934778,1922,111113612603105,2026-06-08 15:49:44,2026-06-08,89.222.103.194
32,LOAN_NOT_RELEASED,warning,El préstamo #1923 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3125,429,11112996211,1923,111113612603105,2026-06-08 15:49:44,2026-06-08,89.222.103.194
33,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3126,152,11113129161,,111113612603105,2026-06-08 15:49:44,2026-06-08,89.222.103.194
34,LOAN_NOT_RELEASED,warning,El préstamo #1924 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3127,430,11113129537,1924,111113612603105,2026-06-08 15:49:44,2026-06-08,89.222.103.194
35,LOAN_NOT_RELEASED,warning,El préstamo #1776 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3131,358,11112855051,1776,111113612603105,2026-06-08 16:25:50,2026-06-08,89.222.103.194
36,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3136,202,11112952328,,111113612603105,2026-06-08 17:45:04,2026-06-08,89.222.103.193
37,LOAN_NOT_RELEASED,warning,El préstamo #1929 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3137,431,11112862917,1929,111113612603105,2026-06-08 17:45:04,2026-06-08,89.222.103.193
38,LOAN_NOT_RELEASED,warning,El préstamo #1909 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3138,349,11112974293,1909,111113612603105,2026-06-08 17:45:04,2026-06-08,89.222.103.193
39,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3141,18,11112805044,,111113612603105,2026-06-08 18:06:46,2026-06-08,89.222.103.194
40,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3142,407,11112802463,,111113612603105,2026-06-08 18:06:46,2026-06-08,89.222.103.194
41,LOAN_NOT_RELEASED,warning,El préstamo #1920 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3145,145,11112785207,1920,111113612603105,2026-06-08 19:16:07,2026-06-08,89.222.103.193
42,LOAN_NOT_RELEASED,warning,El préstamo #1919 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3146,144,11113033150,1919,111113612603105,2026-06-08 19:16:07,2026-06-08,89.222.103.193
43,LOAN_NOT_RELEASED,warning,El préstamo #1919 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3146,144,11113033150,1919,111113612603105,2026-06-08 23:12:34,2026-06-08,89.222.103.194
44,LOAN_NOT_RELEASED,warning,El préstamo #1920 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3145,145,11112785207,1920,111113612603105,2026-06-08 23:12:45,2026-06-08,89.222.103.194
45,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],confirmacion_movimiento,3142,407,11112802463,,111113612603105,2026-06-08 23:12:56,2026-06-08,89.222.103.194
46,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],confirmacion_movimiento,3141,18,11112805044,,111113612603105,2026-06-08 23:13:04,2026-06-08,89.222.103.194
47,LOAN_NOT_RELEASED,warning,El préstamo #1909 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3138,349,11112974293,1909,111113612603105,2026-06-08 23:13:08,2026-06-07,89.222.103.194
48,LOAN_NOT_RELEASED,warning,El préstamo #1929 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3137,431,11112862917,1929,111113612603105,2026-06-08 23:13:15,2026-06-08,89.222.103.194
49,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],confirmacion_movimiento,3136,202,11112952328,,111113612603105,2026-06-08 23:13:21,2026-06-08,89.222.103.194
50,LOAN_NOT_RELEASED,warning,El préstamo #1776 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3131,358,11112855051,1776,111113612603105,2026-06-08 23:13:28,2026-06-08,89.222.103.194
51,LOAN_NOT_RELEASED,warning,El préstamo #1924 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3127,430,11113129537,1924,111113612603105,2026-06-08 23:13:39,2026-06-08,89.222.103.194
52,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],confirmacion_movimiento,3126,152,11113129161,,111113612603105,2026-06-08 23:13:45,2026-06-08,89.222.103.194
53,LOAN_NOT_RELEASED,warning,El préstamo #1923 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3125,429,11112996211,1923,111113612603105,2026-06-08 23:14:16,2026-06-07,89.222.103.194
54,LOAN_NOT_RELEASED,warning,El préstamo #1922 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3124,151,11112934778,1922,111113612603105,2026-06-08 23:14:24,2026-06-08,89.222.103.194
55,LOAN_NOT_RELEASED,warning,El préstamo #1925 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3123,324,11112931340,1925,111113612603105,2026-06-08 23:14:30,2026-06-08,89.222.103.194
56,LOAN_NOT_RELEASED,warning,El préstamo #1893 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3115,137,11112859053,1893,111113612603105,2026-06-08 23:14:38,2026-06-08,89.222.103.194
57,LOAN_NOT_RELEASED,warning,El préstamo #1894 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3114,135,11112967766,1894,111113612603105,2026-06-08 23:15:33,2026-06-08,89.222.103.194
58,LOAN_NOT_RELEASED,warning,El préstamo #1147 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,3113,140,11112732871,1147,111113612603105,2026-06-08 23:15:54,2026-06-08,89.222.103.194
59,LOAN_NOT_RELEASED,warning,El préstamo #1917 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_individual,3372,43,11112862419,1917,111113612603105,2026-06-15 16:44:01,2026-06-15,84.17.44.227
60,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3375,407,11112802463,,111113612603105,2026-06-15 17:24:29,2026-06-15,84.17.44.227
61,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3376,18,11112805044,,111113612603105,2026-06-15 17:24:29,2026-06-15,84.17.44.227
62,LOAN_NOT_RELEASED,warning,El préstamo #1934 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3377,19,11113106411,1934,111113612603105,2026-06-15 17:24:29,2026-06-15,84.17.44.227
63,LOAN_NOT_RELEASED,warning,El préstamo #1935 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3378,11,11113202376,1935,111113612603105,2026-06-15 17:24:29,2026-06-15,84.17.44.227
64,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],confirmacion_movimiento,3375,407,11112802463,,111113612603105,2026-06-15 17:29:19,2026-06-14,84.17.44.227
65,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3380,407,11112802463,,111113612603105,2026-06-15 17:34:15,2026-06-15,84.17.44.227
66,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3381,18,11112805044,,111113612603105,2026-06-15 17:34:15,2026-06-15,84.17.44.227
67,LOAN_NOT_RELEASED,warning,El préstamo #1934 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3382,19,11113106411,1934,111113612603105,2026-06-15 17:34:15,2026-06-15,84.17.44.227
68,LOAN_NOT_RELEASED,warning,El préstamo #1935 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3383,11,11113202376,1935,111113612603105,2026-06-15 17:34:15,2026-06-15,84.17.44.227
69,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3388,437,11112943727,,111113612603105,2026-06-15 17:55:50,2026-06-15,84.17.44.225
70,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3389,436,11112999671,,111113612603105,2026-06-15 17:55:51,2026-06-15,84.17.44.225
71,LOAN_NOT_RELEASED,warning,El préstamo #1915 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3398,362,11112849049,1915,111113612603105,2026-06-15 19:37:49,2026-06-15,84.17.44.226
72,LOAN_NOT_RELEASED,warning,El préstamo #1911 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3399,438,11112864704,1911,111113612603105,2026-06-15 19:37:49,2026-06-15,84.17.44.226
73,LOAN_NOT_RELEASED,warning,El préstamo #1927 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3400,357,11112874869,1927,111113612603105,2026-06-15 19:37:49,2026-06-15,84.17.44.226
74,LOAN_NOT_RELEASED,warning,El préstamo #1937 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3401,379,11112896125,1937,111113612603105,2026-06-15 19:37:49,2026-06-15,84.17.44.226
75,LOAN_NOT_RELEASED,warning,El préstamo #1914 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3402,380,11112915373,1914,111113612603105,2026-06-15 19:37:49,2026-06-15,84.17.44.226
76,LOAN_NOT_RELEASED,warning,El préstamo #1310 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3403,359,11113018033,1310,111113612603105,2026-06-15 19:37:49,2026-06-15,84.17.44.226
77,LOAN_NOT_RELEASED,warning,El préstamo #1936 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3404,360,11113068907,1936,111113612603105,2026-06-15 19:37:49,2026-06-15,84.17.44.226
78,LOAN_NOT_RELEASED,warning,El préstamo #1939 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3408,302,11113042732,1939,111113612603105,2026-06-15 20:14:38,2026-06-15,84.17.44.225
79,LOAN_NOT_RELEASED,warning,El préstamo #1069 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3410,300,11113023290,1069,111113612603105,2026-06-15 20:14:38,2026-06-15,84.17.44.225
80,LOAN_NOT_RELEASED,warning,El préstamo #1938 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3412,351,11113097725,1938,111113612603105,2026-06-15 21:25:08,2026-06-15,84.17.44.226
81,LOAN_NOT_RELEASED,warning,El préstamo #1153 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3473,439,11112708888,1153,111113612603105,2026-06-15 22:04:44,2026-06-15,84.17.44.228
82,LOAN_NOT_RELEASED,warning,El préstamo #1154 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3474,213,11112856649,1154,111113612603105,2026-06-15 22:04:44,2026-06-15,84.17.44.228
83,LOAN_NOT_RELEASED,warning,El préstamo #1616 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3475,222,11113121146,1616,111113612603105,2026-06-15 22:04:44,2026-06-15,84.17.44.228
84,LOAN_NOT_RELEASED,warning,El préstamo #938 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3541,178,11113019509,938,111113612603105,2026-06-16 15:59:21,2026-06-16,84.17.44.227
85,LOAN_NOT_RELEASED,warning,El préstamo #1116 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3545,95,11112881133,1116,111113612603105,2026-06-16 16:50:59,2026-06-16,84.17.44.229
86,LOAN_NOT_RELEASED,warning,El préstamo #1115 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3546,94,11112952632,1115,111113612603105,2026-06-16 16:50:59,2026-06-16,84.17.44.229
87,LOAN_NOT_RELEASED,warning,El préstamo #1114 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,3547,93,11113068571,1114,111113612603105,2026-06-16 16:50:59,2026-06-16,84.17.44.229
88,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,3550,37,11112942297,,111113612603105,2026-06-16 17:08:08,2026-06-16,84.17.44.225
