id,tipo_solicitud,id_cliente,id_prestamo,fecha_primer_pago,cantidad_sistema,cantidad_correcta,motivo_eliminacion,comentarios,comentarios_resolucion,estatus,id_usuarios,id_usuario_resolvio,fecha_creacion,fecha_actualizacion,fecha_resolucion
3,CORRECCION_FECHA_PRIMER_PAGO,,1427,2025-09-23,,,,CONFUSION DE FECHA,Aplicado por proceso automatico: correccion de fecha y monto en BD,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 16:15:39,2026-04-09 04:32:40,2026-04-09 04:32:40
4,CORRECCION_FECHA_PRIMER_PAGO,,1428,2025-12-23,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 16:16:17,2026-04-09 04:37:04,2026-04-09 04:37:04
5,CORRECCION_FECHA_PRIMER_PAGO,,1541,2025-11-18,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 16:20:29,2026-04-09 04:37:04,2026-04-09 04:37:04
6,CORRECCION_FECHA_PRIMER_PAGO,,1542,2025-10-14,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 16:22:59,2026-04-09 04:37:04,2026-04-09 04:37:04
7,CORRECCION_FECHA_PRIMER_PAGO,,1543,2025-09-30,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 16:24:27,2026-04-09 04:37:04,2026-04-09 04:37:04
8,CORRECCION_FECHA_PRIMER_PAGO,,1544,2026-03-17,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 16:26:01,2026-04-09 04:37:04,2026-04-09 04:37:04
9,CORRECCION_FECHA_PRIMER_PAGO,,1545,2026-01-20,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 16:27:33,2026-04-09 04:37:04,2026-04-09 04:37:04
10,CORRECCION_FECHA_PRIMER_PAGO,,1546,2025-11-11,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 16:29:21,2026-04-09 04:37:04,2026-04-09 04:37:04
11,CORRECCION_FECHA_PRIMER_PAGO,,1547,2026-01-20,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 16:32:02,2026-04-09 04:37:04,2026-04-09 04:37:04
13,CORRECCION_FECHA_PRIMER_PAGO,,1548,2026-03-10,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 16:45:20,2026-04-09 04:37:04,2026-04-09 04:37:04
14,CORRECCION_FECHA_PRIMER_PAGO,,1550,2025-10-14,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 16:55:52,2026-04-09 04:37:04,2026-04-09 04:37:04
15,CORRECCION_FECHA_PRIMER_PAGO,,1551,2026-02-03,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 16:57:13,2026-04-09 04:37:04,2026-04-09 04:37:04
16,CORRECCION_FECHA_PRIMER_PAGO,,895,2026-02-04,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 17:04:15,2026-04-09 04:37:04,2026-04-09 04:37:04
17,CORRECCION_FECHA_PRIMER_PAGO,,894,2026-03-25,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 17:06:22,2026-04-09 04:37:04,2026-04-09 04:37:04
18,CORRECCION_MONTO_PAGO,,894,,388.90,504.00,,,Aplicado por proceso automatico: correccion de fecha y monto en BD,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 17:06:40,2026-04-09 04:32:40,2026-04-09 04:32:40
19,CORRECCION_FECHA_PRIMER_PAGO,,896,2026-02-11,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 17:07:32,2026-04-09 04:37:04,2026-04-09 04:37:04
20,CORRECCION_FECHA_PRIMER_PAGO,,897,2025-11-19,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 17:13:22,2026-04-09 04:37:04,2026-04-09 04:37:04
21,CORRECCION_FECHA_PRIMER_PAGO,,903,2026-01-14,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 17:21:24,2026-04-09 04:37:04,2026-04-09 04:37:04
22,CORRECCION_FECHA_PRIMER_PAGO,,904,2026-02-25,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 17:23:13,2026-04-09 04:37:04,2026-04-09 04:37:04
23,CORRECCION_FECHA_PRIMER_PAGO,,905,2026-02-18,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 17:24:30,2026-04-09 04:37:04,2026-04-09 04:37:04
24,CORRECCION_FECHA_PRIMER_PAGO,,915,2025-12-17,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 17:26:02,2026-04-09 04:37:04,2026-04-09 04:37:04
25,CORRECCION_FECHA_PRIMER_PAGO,,916,2025-10-14,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 17:26:47,2026-04-09 04:37:04,2026-04-09 04:37:04
26,CORRECCION_FECHA_PRIMER_PAGO,,917,2025-12-17,,,,,Aplicado en lote: correccion automatica de fecha primer pago,SOLUCIONADO,111113612004634,111113612004634,2026-04-08 17:28:02,2026-04-09 04:37:04,2026-04-09 04:37:04
