id_detalle,id_mora_centro,id_cliente,pago_cliente,porcentaje_participacion,monto_multa_cliente,total_a_pagar_cliente,fecha_creacion
1,1,11112924530,780.00,1.0000,1716.00,2496.00,2026-03-29 02:00:00
2,2,11112984597,408.30,1.0000,898.26,1306.56,2026-03-30 02:00:00
3,3,11112707655,706.00,0.3551,1553.20,2259.20,2026-03-31 02:00:00
4,3,11112907887,576.00,0.2897,1267.20,1843.20,2026-03-31 02:00:00
5,3,11113205041,706.00,0.3551,1553.20,2259.20,2026-03-31 02:00:00
30,4,11112887138,888.00,0.7872,1953.60,2841.60,2026-04-01 13:54:49
31,4,11113168985,240.00,0.2128,528.00,768.00,2026-04-01 13:54:49
33,5,11113057488,388.90,1.0000,855.58,1244.48,2026-04-02 02:00:00
34,6,11112932017,300.00,0.1217,660.00,960.00,2026-04-03 02:00:00
35,6,11113005731,720.00,0.2921,1584.00,2304.00,2026-04-03 02:00:00
36,6,11113029053,1444.50,0.5861,3177.90,4622.40,2026-04-03 02:00:00
37,7,11112623811,480.00,1.0000,1056.00,1536.00,2026-04-04 02:00:00
38,8,11112924530,780.00,1.0000,1716.00,2496.00,2026-04-05 02:00:00
39,9,11112984597,408.30,1.0000,898.26,1306.56,2026-04-06 02:00:00
40,10,11112833441,256.00,0.4444,563.20,819.20,2026-04-06 18:40:14
41,10,11112956989,320.00,0.5556,704.00,1024.00,2026-04-06 18:40:14
43,11,11112899272,640.00,0.5212,1408.00,2048.00,2026-04-07 02:00:00
44,11,11112985973,587.90,0.4788,1293.38,1881.28,2026-04-07 02:00:00
50,12,11112917978,291.70,1.0000,641.74,933.44,2026-04-08 16:33:44
51,13,11113057488,388.90,1.0000,855.58,1244.48,2026-04-09 02:00:00
52,14,11113005731,720.00,0.3326,1584.00,2304.00,2026-04-10 02:00:01
53,14,11113029053,1444.50,0.6674,3177.90,4622.40,2026-04-10 02:00:01
55,15,11112874869,780.00,0.3927,1716.00,2496.00,2026-04-11 02:00:00
56,15,11112879732,1206.00,0.6073,2653.20,3859.20,2026-04-11 02:00:00
72,16,11112658700,588.00,0.1690,1293.60,1881.60,2026-04-13 16:43:52
73,16,11112748267,588.00,0.1690,1293.60,1881.60,2026-04-13 16:43:52
74,16,11112754934,588.00,0.1690,1293.60,1881.60,2026-04-13 16:43:52
75,16,11112777895,540.00,0.1552,1188.00,1728.00,2026-04-13 16:43:52
