id_notificacion_sistema,titulo,modulo,tipo_error,mensaje,detalles,fecha_creacion,resuelto,fecha_resolucion,id_usuario_resolvio
1,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 362ms,[object Object],2026-02-25 01:00:00,1,,
2,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 250ms,[object Object],2026-02-26 01:00:00,1,,
3,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 259ms,[object Object],2026-02-27 01:00:00,1,,
4,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 32ms,[object Object],2026-02-27 19:16:05,1,,
5,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 154ms,[object Object],2026-02-28 01:00:00,1,,
6,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 181ms,[object Object],2026-03-01 01:00:00,1,,
7,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 131ms,[object Object],2026-03-02 01:00:00,1,,
8,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 52ms,[object Object],2026-03-02 06:06:23,1,,
9,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 284ms,[object Object],2026-03-03 01:00:00,1,,
10,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 353ms,[object Object],2026-03-04 01:00:00,1,,
11,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 276ms,[object Object],2026-03-05 01:00:00,1,,
12,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 295ms,[object Object],2026-03-06 01:00:00,1,,
13,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 73ms,[object Object],2026-03-06 07:18:30,1,,
14,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 336ms,[object Object],2026-03-07 01:00:00,1,,
15,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 257ms,[object Object],2026-03-08 01:00:00,1,,
16,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 185ms,[object Object],2026-03-09 01:00:00,1,,
17,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 213ms,[object Object],2026-03-10 01:00:00,1,,
18,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 141ms,[object Object],2026-03-11 01:00:00,1,,
19,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 264ms,[object Object],2026-03-12 01:00:00,1,,
20,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 315ms,[object Object],2026-03-13 01:00:00,1,,
21,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 265ms,[object Object],2026-03-14 01:00:00,1,,
22,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 281ms,[object Object],2026-03-15 01:00:00,1,,
23,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 314ms,[object Object],2026-03-16 01:00:00,1,,
24,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 373ms,[object Object],2026-03-17 01:00:00,1,,
25,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 254ms,[object Object],2026-03-18 01:00:00,1,,
26,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 434ms,[object Object],2026-03-19 01:00:00,1,,
27,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 172ms,[object Object],2026-03-20 01:00:00,1,,
28,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 481ms,[object Object],2026-03-21 01:00:00,1,,
29,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 308ms,[object Object],2026-03-22 01:00:00,1,,
30,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 160ms,[object Object],2026-03-23 01:00:00,1,,
31,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 298ms,[object Object],2026-03-24 01:00:00,1,,
32,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 448ms,[object Object],2026-03-25 01:00:00,1,,
33,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 304ms,[object Object],2026-03-26 01:00:00,1,,
34,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 84ms,[object Object],2026-03-26 16:01:03,1,,
35,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 635ms,[object Object],2026-03-27 01:00:00,1,,
36,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 444ms,[object Object],2026-03-28 01:00:00,1,,
37,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 602ms,[object Object],2026-03-28 15:00:00,1,,
38,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 459ms,[object Object],2026-03-28 16:00:00,1,,
39,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 486ms,[object Object],2026-03-28 17:00:00,1,,
40,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 523ms,[object Object],2026-03-28 18:00:00,1,,
41,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 609ms,[object Object],2026-03-28 19:00:00,1,,
42,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 665ms,[object Object],2026-03-28 20:00:00,1,,
43,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 468ms,[object Object],2026-03-28 21:00:00,1,,
44,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 611ms,[object Object],2026-03-28 22:00:00,1,,
45,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 577ms,[object Object],2026-03-28 23:00:00,1,,
46,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 595ms,[object Object],2026-03-29 00:00:00,1,,
47,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 747ms,[object Object],2026-03-29 01:00:00,1,,
48,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 585ms,[object Object],2026-03-29 15:00:00,1,,
49,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 436ms,[object Object],2026-03-29 16:00:00,1,,
50,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 533ms,[object Object],2026-03-29 17:00:00,1,,
51,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 883ms,[object Object],2026-03-29 18:00:01,1,,
