id,pago_original_id,pago_restante_id,monto_original,monto_pagado,monto_restante,fecha_creacion,estado,fecha_completado,metodo_pago_parcial,id_usuario_registro
1,15992,16000,587.90,1.60,586.30,2026-04-07 18:34:20,completado,2026-04-07 18:35:01,Efectivo,
2,14431,16431,480.00,80.00,400.00,2026-04-09 16:09:41,activo,,Efectivo,
3,1509,17040,360.00,350.00,10.00,2026-04-13 22:35:02,activo,,Efectivo,
4,1532,17041,360.00,80.00,280.00,2026-04-13 22:37:58,completado,2026-06-24 15:21:26,Efectivo,
5,2422,17102,720.00,192.00,528.00,2026-04-15 16:32:21,activo,,Efectivo,
6,3015,17880,648.00,498.00,150.00,2026-04-23 15:42:23,activo,,Efectivo,
7,14263,18354,1444.50,239.50,1205.00,2026-04-28 18:47:24,completado,2026-04-28 18:47:49,Efectivo,
8,15072,18828,936.00,238.00,698.00,2026-05-05 20:45:25,activo,,Efectivo,
9,15073,18829,936.00,401.00,535.00,2026-05-05 20:47:53,activo,,Efectivo,
10,14574,19635,360.00,232.00,128.00,2026-05-12 17:23:32,completado,2026-05-12 17:25:17,Efectivo,
11,14575,19636,360.00,276.00,84.00,2026-05-12 17:23:45,completado,2026-05-12 17:25:17,Efectivo,
12,14577,19637,364.80,360.00,4.80,2026-05-12 17:24:17,activo,,Efectivo,
13,14576,19638,360.00,188.00,172.00,2026-05-12 17:25:17,activo,,Efectivo,
14,19721,19723,576.00,300.00,276.00,2026-05-12 17:36:01,activo,,Efectivo,
15,19722,19724,576.00,300.00,276.00,2026-05-12 17:36:28,activo,,Efectivo,
16,19719,19725,576.00,250.00,326.00,2026-05-12 17:37:02,completado,2026-06-24 21:52:31,Efectivo,
17,19693,19726,648.00,576.00,72.00,2026-05-12 17:39:15,activo,,Efectivo,
18,19694,19727,648.00,204.00,444.00,2026-05-12 17:39:37,completado,2026-05-12 17:40:15,Efectivo,
19,19702,19728,648.00,204.00,444.00,2026-05-12 17:41:50,activo,,Efectivo,
20,19665,19729,320.00,4.00,316.00,2026-05-12 17:42:53,activo,,Efectivo,
21,19737,19748,432.00,228.00,204.00,2026-05-12 17:50:03,activo,,Efectivo,
22,19740,19749,432.00,380.00,52.00,2026-05-12 17:50:44,activo,,Efectivo,
23,19741,19750,432.00,348.00,84.00,2026-05-12 17:51:08,activo,,Efectivo,
24,19761,19764,299.90,1.00,298.90,2026-05-12 17:54:29,activo,,Efectivo,
25,19785,19849,936.00,288.00,648.00,2026-05-12 18:04:57,activo,,Efectivo,
26,19786,19850,936.00,288.00,648.00,2026-05-12 18:05:08,activo,,Efectivo,
27,19792,19851,936.00,168.00,768.00,2026-05-12 18:06:20,activo,,Efectivo,
28,19882,19900,320.00,264.00,56.00,2026-05-12 18:13:34,activo,,Efectivo,
29,19884,19901,320.00,264.00,56.00,2026-05-12 18:14:33,activo,,Efectivo,
30,3127,19902,720.00,424.00,296.00,2026-05-12 18:29:22,activo,,Efectivo,
31,3145,19903,576.00,500.00,76.00,2026-05-12 18:30:31,activo,,Efectivo,
32,3297,19904,588.00,575.00,13.00,2026-05-12 18:34:51,activo,,Efectivo,
33,3299,19905,588.00,40.00,548.00,2026-05-12 18:36:12,activo,,Efectivo,
34,4871,19906,576.00,200.00,376.00,2026-05-12 20:39:57,completado,2026-06-03 20:16:35,Efectivo,
35,2516,19907,540.00,210.00,330.00,2026-05-12 20:57:45,activo,,Efectivo,
36,2618,19908,150.00,60.00,90.00,2026-05-12 20:58:06,completado,2026-06-26 15:49:40,Efectivo,
37,9209,20162,780.00,430.00,350.00,2026-05-14 20:32:35,completado,2026-05-14 21:17:45,Efectivo,
38,20162,20163,350.00,300.00,50.00,2026-05-14 21:17:45,activo,,Efectivo,
39,11869,20862,588.00,9.00,579.00,2026-05-26 17:13:02,completado,2026-05-26 17:13:25,Efectivo,
40,8526,22179,780.00,779.96,0.04,2026-06-06 18:07:06,completado,2026-06-06 18:07:26,Efectivo,
41,8564,22180,480.00,479.99,0.01,2026-06-06 18:08:23,completado,2026-06-06 18:08:38,Efectivo,
42,17745,22869,870.00,500.00,370.00,2026-06-15 19:09:19,activo,,Efectivo,
43,16210,22936,180.00,80.00,100.00,2026-06-17 19:18:52,completado,2026-06-17 19:19:10,Efectivo,
44,16211,22937,180.00,100.00,80.00,2026-06-17 19:19:32,activo,,Efectivo,
45,16212,22938,180.00,130.00,50.00,2026-06-17 19:19:47,activo,,Efectivo,
46,16214,22939,180.00,70.00,110.00,2026-06-17 19:20:05,activo,,Efectivo,
47,16215,22940,180.00,100.00,80.00,2026-06-17 19:20:23,activo,,Efectivo,
48,16216,22941,180.00,100.00,80.00,2026-06-17 19:20:39,activo,,Efectivo,
49,1670,23699,588.00,224.00,364.00,2026-06-24 15:27:03,activo,,Efectivo,
50,1720,23700,588.00,500.00,88.00,2026-06-24 15:28:05,activo,,Efectivo,
51,14497,23701,576.00,382.00,194.00,2026-06-24 19:44:23,completado,2026-06-24 20:04:05,Efectivo,
52,14498,23702,576.00,408.00,168.00,2026-06-24 19:44:56,completado,2026-06-24 19:47:04,Efectivo,
53,14499,23703,576.00,320.00,256.00,2026-06-24 19:46:20,completado,2026-06-24 19:46:42,Efectivo,
54,23702,23704,168.00,44.00,124.00,2026-06-24 19:47:04,completado,2026-06-24 20:04:17,Efectivo,
55,14578,23705,360.00,350.00,10.00,2026-06-24 19:49:49,activo,,Efectivo,
56,19885,23706,320.00,126.00,194.00,2026-06-24 20:21:47,activo,,Efectivo,
57,19886,23707,320.00,152.00,168.00,2026-06-24 20:22:13,completado,2026-06-24 20:23:46,Efectivo,
58,19887,23708,320.00,64.00,256.00,2026-06-24 20:23:01,completado,2026-06-24 20:23:27,Efectivo,
59,23707,23709,168.00,44.00,124.00,2026-06-24 20:23:46,activo,,Efectivo,
60,14623,23710,320.00,308.00,12.00,2026-06-24 21:44:24,activo,,Efectivo,
61,2557,23918,200.00,100.00,100.00,2026-06-26 15:07:31,activo,,Efectivo,
62,19908,23919,90.00,50.00,40.00,2026-06-26 15:49:40,activo,,Efectivo,
