id_plazo,id_config,plazo,plazo_renovacion,interes,monto,estatus,fecha_creacion,fecha_actualizacion
2,5,24,18,6.32,15000.00,Activo,2025-10-06 18:20:45,2026-05-22 23:06:37
3,6,18,14,5.67,15000.00,Activo,2025-10-15 16:30:11,2026-05-22 23:06:16
5,9,13,8,7.95,4000.00,Activo,2025-10-16 19:36:06,2025-10-16 19:36:06
6,8,48,38,3.85,25000.00,Activo,2025-10-16 19:38:30,2026-05-26 20:56:16
8,11,32,26,5.86,50000.00,Activo,2025-10-16 19:47:01,2025-10-16 19:48:00
9,12,16,12,9.13,5000.00,Activo,2025-11-20 21:17:36,2025-11-20 21:19:49
10,14,14,11,10.20,5000.00,Activo,2025-11-26 17:58:50,2025-11-26 18:01:51
11,15,12,6,10.92,5000.00,Activo,2025-11-26 18:05:53,2025-11-26 18:05:53
13,16,16,12,7.07,7000.00,Activo,2025-11-26 18:16:28,2025-11-26 18:18:12
14,17,14,11,7.44,7000.00,Activo,2025-11-26 18:21:47,2025-11-26 18:23:31
15,18,12,10,7.82,7000.00,Activo,2025-11-26 18:35:10,2025-11-26 18:39:34
16,19,16,13,8.45,10000.00,Activo,2025-11-26 18:44:21,2025-11-26 18:45:25
18,21,14,12,8.82,10000.00,Activo,2025-11-26 18:52:59,2025-11-26 18:53:07
19,23,12,8,7.47,10000.00,Activo,2025-11-26 18:57:31,2025-11-26 18:59:03
20,24,16,13,7.07,12000.00,Activo,2025-11-26 19:07:42,2025-11-26 19:07:42
21,25,14,11,7.81,12000.00,Activo,2025-11-26 19:11:35,2025-11-26 19:11:35
22,26,12,8,8.85,12000.00,Activo,2025-11-26 19:15:30,2025-11-26 19:15:30
23,27,16,14,5.69,15000.00,Activo,2025-11-26 19:21:46,2025-11-26 19:23:50
24,28,14,11,5.37,15000.00,Activo,2025-11-26 19:33:19,2025-11-26 19:34:17
25,29,12,7,4.02,15000.00,Activo,2025-11-26 19:39:55,2025-11-26 19:39:55
29,33,32,25,5.00,50000.00,Activo,2025-11-26 20:19:47,2025-11-26 20:19:47
30,34,24,18,3.88,70000.00,Activo,2025-11-26 20:20:44,2026-07-24 16:24:39
32,36,32,27,5.19,45000.00,Activo,2026-02-12 16:14:53,2026-02-12 16:17:34
34,38,32,30,4.62,20000.00,Activo,2026-03-26 16:56:28,2026-03-26 16:56:28
35,39,120,118,1.92,300000.00,Activo,2026-03-26 16:56:28,2026-03-26 16:56:28
36,40,12,,20.00,40000.00,Activo,2026-03-26 16:56:28,2026-06-12 16:55:43
37,41,1,,12.66,0.00,Activo,2026-05-09 17:14:49,2026-05-09 17:14:49
38,42,24,18,2.95,0.00,Activo,2026-05-09 17:29:44,2026-07-02 15:23:32
