id_role_module_access,id_rol,module_key,is_default,created_at,updated_at
1,1,myday,1,2026-04-17 18:29:44,2026-04-17 18:29:44
2,1,clients,0,2026-04-17 18:29:44,2026-04-17 18:29:44
3,1,mora,0,2026-04-17 18:29:44,2026-04-17 18:29:44
4,1,hoja-cobranza,0,2026-04-17 18:29:44,2026-04-17 18:29:44
5,1,estado-cuenta,0,2026-04-17 18:29:44,2026-04-17 18:29:44
6,1,expedientes,0,2026-04-17 18:29:44,2026-04-17 18:29:44
7,1,renewals,0,2026-04-17 18:29:44,2026-04-17 18:29:44
8,1,individual-clients,0,2026-04-17 18:29:44,2026-04-17 18:29:44
9,1,chargers,0,2026-04-17 18:29:44,2026-04-17 18:29:44
10,1,group-loans,0,2026-04-17 18:29:44,2026-04-17 18:29:44
11,1,deposit,0,2026-04-17 18:29:44,2026-04-17 18:29:44
12,1,collections,0,2026-04-17 18:29:44,2026-04-17 18:29:44
38,3,clients,0,2026-04-20 18:23:45,2026-04-20 18:23:45
39,3,expedientes,0,2026-04-20 18:23:45,2026-04-20 18:23:45
40,3,renewals,0,2026-04-20 18:23:45,2026-04-20 18:23:45
41,3,chargers,0,2026-04-20 18:23:45,2026-04-20 18:23:45
42,3,group-loans,0,2026-04-20 18:23:45,2026-04-20 18:23:45
43,3,pagares,0,2026-04-20 18:23:45,2026-04-20 18:23:45
44,3,collections,0,2026-04-20 18:23:45,2026-04-20 18:23:45
45,3,myday,0,2026-04-20 18:23:45,2026-04-20 18:23:45
46,3,deposit,0,2026-04-20 18:23:45,2026-04-20 18:23:45
47,3,savings,0,2026-04-20 18:23:45,2026-04-20 18:23:45
48,3,notifications,0,2026-04-20 18:23:45,2026-04-20 18:23:45
49,3,export-excel,0,2026-04-20 18:23:45,2026-04-20 18:23:45
131,2,applications,0,2026-06-29 16:38:40,2026-06-29 16:38:40
132,2,archivos,0,2026-06-29 16:38:40,2026-06-29 16:38:40
133,2,auditoria,0,2026-06-29 16:38:40,2026-06-29 16:38:40
134,2,cartera,0,2026-06-29 16:38:40,2026-06-29 16:38:40
135,2,centers,0,2026-06-29 16:38:40,2026-06-29 16:38:40
136,2,chargers,0,2026-06-29 16:38:40,2026-06-29 16:38:40
137,2,clients,0,2026-06-29 16:38:40,2026-06-29 16:38:40
138,2,clients-by-executives,0,2026-06-29 16:38:40,2026-06-29 16:38:40
139,2,collections,0,2026-06-29 16:38:40,2026-06-29 16:38:40
140,2,credito-comadre,0,2026-06-29 16:38:40,2026-06-29 16:38:40
141,2,deposit,0,2026-06-29 16:38:40,2026-06-29 16:38:40
142,2,estado-cuenta,0,2026-06-29 16:38:40,2026-06-29 16:38:40
143,2,expedientes,0,2026-06-29 16:38:40,2026-06-29 16:38:40
144,2,export-excel,0,2026-06-29 16:38:40,2026-06-29 16:38:40
145,2,group-loans,0,2026-06-29 16:38:40,2026-06-29 16:38:40
146,2,hoja-cobranza,0,2026-06-29 16:38:40,2026-06-29 16:38:40
147,2,hr,0,2026-06-29 16:38:40,2026-06-29 16:38:40
148,2,individual-clients,0,2026-06-29 16:38:40,2026-06-29 16:38:40
149,2,mora,0,2026-06-29 16:38:40,2026-06-29 16:38:40
150,2,myday,0,2026-06-29 16:38:40,2026-06-29 16:38:40
151,2,notifications,0,2026-06-29 16:38:40,2026-06-29 16:38:40
152,2,pagares,0,2026-06-29 16:38:40,2026-06-29 16:38:40
153,2,renewals,0,2026-06-29 16:38:40,2026-06-29 16:38:40
154,2,reports,0,2026-06-29 16:38:40,2026-06-29 16:38:40
155,2,savings,0,2026-06-29 16:38:40,2026-06-29 16:38:40
156,2,settings,0,2026-06-29 16:38:40,2026-06-29 16:38:40
157,2,tickets,0,2026-06-29 16:38:40,2026-06-29 16:38:40
158,2,ubicacion,0,2026-06-29 16:38:40,2026-06-29 16:38:40
159,2,savings-excel,0,2026-06-29 16:38:40,2026-06-29 16:38:40
166,5,clients,1,2026-06-29 20:30:41,2026-06-29 20:30:41
167,5,credito-comadre,0,2026-06-29 20:30:41,2026-06-29 20:30:41
168,5,centers,0,2026-06-29 20:30:41,2026-06-29 20:30:41
169,5,individual-clients,0,2026-06-29 20:30:41,2026-06-29 20:30:41
170,5,myday,0,2026-06-29 20:30:41,2026-06-29 20:30:41
171,2,credito-magnus,0,2026-07-02 15:32:13,2026-07-02 15:32:13
172,1,credito-magnus,0,2026-07-02 15:32:14,2026-07-02 15:32:14
