id_ticket,id_movimiento,folio,codigo_verificacion,firma,generado_por,fecha_generacion,comentario
1,3976,TK-2026-3976,ZC5Q-WHHQ-P7BA-XFKC,Zc5qWhhQP7bAxFKcoa3AGhKComZoj_9wd9DpSV-4d8I,111113612603105,2026-06-25 19:00:34,"SE DEPOSITAN LA SIGUIENTE GARANTIA YA QUE EL CLIENTE TIENE UNA LINEA MENSUAL LA CUAL EMPEZO EM MARZO POR CUESTIONES DE LOGISTICA EL DIA DE HOY SE PONE AL CORRIENTE CON LAS GARANTIAS DE LOS MESES MARZO , ABRIL Y MAYO."
2,4205,TK-2026-4205,2CA6-RCKI-WIYC-NQVM,2cA6R_ckIWIycn_qvmbURn4FdtBCUyi7RtP_LIyvFCg,111113612603105,2026-06-29 17:15:15,SE DEPOSITA LA GARANTIA COMPLEMENTARIA $375.00 PESOS
3,4207,TK-2026-4207,EUR0-ELA2-K630-QPZN,eUR0ELa2k630qpZNRRo2yfmDJq9Qdn0HiCTj26k9SOA,111113612603105,2026-06-29 18:02:21,SE DEPOSITA EL COMPLEMENTO DE LA LINEA DE LA SRA LETICIA QUE ABARCA DEL 17-03-206 AL 23-06-2026 CIERRE AL PAGO 15
4,4209,TK-2026-4209,NGJS-IAXP-TLHM-JWTP,ngjsIaXPtLhMJwtpO54_OVV8lPDc3CTvj5FLY-pcfjA,111113612603105,2026-06-29 18:14:26,deposito complementario del 31-03-2026 al 23-06-2026
5,4211,TK-2026-4211,IIHX-PKY6-SYRE-KTHD,I-IHXpKy6SYrEk-ThD5ydnsBP19q0bC7dexOVPCOsQ8,111113612603105,2026-06-29 22:46:49,
6,4213,TK-2026-4213,IARX-6V2L-CKYV-MW8I,iARx6v2lCkyVMW8IYqgiT564GdB42uY83hRRhx7aF7E,111113612603105,2026-06-29 23:10:37,
7,4215,TK-2026-4215,9JJO-NHKV-HUND-XYNH,9JJONhkvhUndxyNhsp-JNjy6Q1wZtR0KEDikcO6ihyk,111113612603105,2026-06-29 23:25:02,
8,4273,TK-2026-4273,9TL8-5PSD-04NY-QIP3,9tL85PSD04NyQIp3dDP_5uIn5BwRiT93IhRfafoHFUI,111113612603105,2026-06-30 15:41:39,
9,4275,TK-2026-4275,LLNZ-WGC6-QIVY-VVU6,LlNzWGc6qi-vyv-vU6gnTFFJJBiiqLC85dwKJpFELvs,111113612603105,2026-06-30 16:37:44,
10,4276,TK-2026-4276,6Q0M-HVGD-YIRY-XEVA,6Q0MHVGdyiRyXEVaLKsZGltpuyo26n37pWwrZM2jU68,111113612603105,2026-06-30 16:37:45,
11,4377,TK-2026-4377,K0JY-SEMC-6W8G-DAOG,K0jYSEmc6W8GDAOGSXUP357Ik5ljj5NXzkpFkIwJ-08,111113612603105,2026-07-06 16:50:04,
12,4378,TK-2026-4378,QD0V-PMWU-K5U7-VOAJ,Qd0vpmwUk5u7VoAJc_ZXQygJJ8pNfNHgAfx8JKVnugo,111113612603105,2026-07-06 16:50:05,
13,4381,TK-2026-4381,Z7PD-SSIB-N60P-BDWO,Z_7PDsSIbN60PbDWOsr0JaXRvXLFG1FhxXt5H1sZJ6w,111113612603105,2026-07-06 17:12:43,GARANTIAS QUE ABARCAN DEL 17-03-2026 AL 29-06-2026
14,4383,TK-2026-4383,UM7F-R8KI-ZX2C-CPLX,UM7fr8kIzX2c_cPLxh57P6iqdWi1ZZrY9YofTViWWnA,111113612603105,2026-07-06 17:56:28,
15,4384,TK-2026-4384,XXAY-CDFF-OA08-4JOT,xX-AyCDFfoa084jOTn1vHM66Xc0U9qDO1MgElDhX49Q,111113612603105,2026-07-06 17:56:28,
16,4387,TK-2026-4387,JTEK-U423-RVTO-B1QJ,jteKu423RVtOB1qjLGwHqgF8mLltwhFeAP0OXGPujis,111113612603105,2026-07-06 18:14:05,
17,4389,TK-2026-4389,FSMO-13AN-9B48-CXZT,fSMo13aN9b48CXzt1faQmPeDv2aMs4e-rdXfg4WJcBQ,111113612603105,2026-07-06 18:34:24,
18,4392,TK-2026-4392,VFTO-UTFX-NRJH-EF9A,VfToutfxnrJhEf9AONaIidpzIFYAYH3kvfnpWKuKIq8,111113612603105,2026-07-06 18:49:21,
19,4394,TK-2026-4394,FBQ9-TJPI-MUJM-5NZR,fbQ9tJ-PimuJM5nZrGbbgxujypb-j1MzZ3_ssJicfI0,111113612603105,2026-07-06 18:59:09,
20,4396,TK-2026-4396,9UCJ-CMYD-MZ1O-XAWN,9UcjCMyDmZ1oxA_WnP7cHwuGl3I7YBKgShWZ396gO9E,111113612603105,2026-07-06 19:19:13,
21,4398,TK-2026-4398,NHZL-NOFG-RCDV-SFLN,NhZLNoFGRcD_VsFlNODfmqmolaEUjiRt8hXx9GJEd_A,111113612603105,2026-07-06 19:52:30,
22,4399,TK-2026-4399,CZIF-HJLT-ANLJ-FNDU,czIfhjLtanlJFndub7EfiUK5jrNa_QgVCmc94m012bY,111113612603105,2026-07-06 19:52:31,
23,4403,TK-2026-4403,AG91-NL31-TPQV-AQV5,AG91nL31TpQvAqv5sMzj_8fgPwLjISk_NXWwHfz5EAg,111113612603105,2026-07-15 16:12:43,
24,4404,TK-2026-4404,N1KL-8H1J-4OPO-UMOR,N1Kl8h1J4opoumORTubXk3-RNiLPcMmZFrl3csim3wI,111113612603105,2026-07-15 16:12:44,
