id_vivienda,propiedad,superficie,niveles,no_habitaciones,tiempo_residencia,paredes,piso,techo,fecha_creacion,fecha_actualizacion,id_cliente
7,Propia,11250.00,1,6,13,Ladrillo,Cemento,Concreto,2025-06-17 23:49:05,2025-06-17 23:49:05,11113025129
8,Familiar,300.00,1,1,28,Ladrillo,Loseta,Concreto,2025-06-25 00:15:08,2025-06-25 00:15:08,11112925238
9,Familiar,99.00,99,99,99,Otro,Otro,Otro,2025-06-26 00:35:07,2025-06-26 00:35:07,11112903012
10,Familiar,100.00,1,1,36,Ladrillo,Cemento,Lámina,2025-06-27 19:48:34,2025-06-27 19:48:34,11113008579
11,Propia,150.00,1,3,50,Ladrillo,Cemento,Concreto,2025-06-27 20:56:35,2025-06-27 20:56:35,11112984597
14,Propia,20.00,1,1,20,Ladrillo,Cemento,Concreto,2025-07-03 23:55:43,2025-07-03 23:55:43,11113098291
17,Propia,270.00,1,4,22,Ladrillo,Cemento,Lámina,2025-07-15 20:23:42,2025-07-15 20:23:42,11112919810
18,Propia,270.00,1,4,1,Ladrillo,Cemento,Lámina,2025-07-15 20:48:22,2025-07-15 20:48:22,11112861463
19,Propia,270.00,2,5,19,Ladrillo,Cemento,Concreto,2025-07-15 21:49:20,2025-07-15 21:49:20,11112899272
20,Propia,270.00,1,4,20,Ladrillo,Cemento,Concreto,2025-07-15 22:07:02,2025-07-15 22:07:02,11112985973
21,Familiar,8.00,1,3,9,Ladrillo,Cemento,Lámina,2025-07-15 22:51:41,2025-07-15 22:51:41,11112821963
22,Propia,40.00,1,2,66,Otro,Cemento,Lámina,2025-07-16 15:33:05,2025-07-16 15:33:05,11112918184
23,Propia,16.00,1,2,20,Ladrillo,Cemento,Lámina,2025-07-16 15:43:28,2025-07-16 15:43:28,11112922068
24,Propia,270.00,1,5,20,Madera,Cemento,Teja,2025-07-16 16:30:36,2025-07-16 16:30:36,11113129537
25,Propia,1.00,1,1,1,Ladrillo,Cemento,Concreto,2025-07-22 20:11:27,2025-07-22 20:11:27,11113204127
26,Propia,1.00,1,1,1,Ladrillo,Cemento,Concreto,2025-07-22 20:31:21,2025-07-22 20:31:21,11113208518
27,Familiar,270.00,1,5,20,Ladrillo,Cemento,Concreto,2025-07-30 18:07:59,2025-07-30 18:07:59,11112791994
28,Propia,270.00,1,4,31,Ladrillo,Cemento,Otro,2025-07-30 18:29:53,2025-07-30 18:29:53,11112971766
29,Familiar,270.00,1,4,5,Ladrillo,Cemento,Concreto,2025-07-30 18:44:46,2025-07-30 18:44:46,11112979148
30,Familiar,270.00,1,4,8,Ladrillo,Loseta,Otro,2025-07-30 19:08:12,2025-07-30 19:08:12,11113029053
31,Propia,270.00,2,8,45,Ladrillo,Cemento,Otro,2025-07-30 19:25:24,2025-07-30 19:25:24,11113017302
32,Propia,270.00,1,5,23,Ladrillo,Cemento,Concreto,2025-07-30 19:42:17,2025-07-30 19:42:17,11112871315
33,Rentada,270.00,2,6,2,Ladrillo,Cemento,Otro,2025-07-30 20:09:16,2025-07-30 20:09:16,11112966560
34,Propia,270.00,1,2,20,Ladrillo,Loseta,Teja,2025-07-30 21:49:36,2025-07-30 21:49:36,11112805333
36,Familiar,200.00,2,4,14,Ladrillo,Loseta,Concreto,2025-07-30 23:09:24,2025-07-30 23:09:24,11112835706
37,Familiar,270.00,1,5,48,Otro,Cemento,Lámina,2025-07-30 23:21:49,2025-07-30 23:21:49,11112901442
38,Propia,270.00,1,3,8,Ladrillo,Cemento,Lámina,2025-07-30 23:47:48,2025-07-30 23:47:48,11112909806
39,Familiar,270.00,2,9,39,Ladrillo,Cemento,Concreto,2025-08-01 16:35:46,2025-08-01 16:35:46,11112949301
40,Familiar,270.00,1,5,30,Ladrillo,Cemento,Otro,2025-08-01 17:06:15,2025-08-01 17:06:15,11112913368
41,Propia,1.00,1,2,1,Ladrillo,Cemento,Concreto,2025-08-01 17:50:04,2025-08-01 17:50:04,11113204612
42,Propia,270.00,1,6,20,Ladrillo,Cemento,Concreto,2025-08-01 18:46:57,2025-08-01 18:46:57,11112996211
43,Propia,270.00,1,4,59,Ladrillo,Cemento,Otro,2025-08-01 18:59:06,2025-08-01 18:59:06,11112931340
44,Propia,270.00,1,1,41,Ladrillo,Cemento,Concreto,2025-08-01 19:15:33,2025-08-01 19:15:33,11113025167
45,Propia,270.00,1,3,40,Ladrillo,Cemento,Concreto,2025-08-01 19:41:18,2025-08-01 19:41:18,11113129161
48,Propia,270.00,1,5,30,Otro,Cemento,Concreto,2025-08-01 21:13:46,2025-08-01 21:13:46,11112977354
49,Familiar,270.00,1,5,15,Ladrillo,Cemento,Lámina,2025-08-01 21:32:47,2025-08-01 21:32:47,11112997831
50,Propia,270.00,1,5,15,Ladrillo,Cemento,Lámina,2025-08-01 21:40:46,2025-08-01 21:40:46,11113043290
51,Propia,270.00,1,5,40,Ladrillo,Loseta,Concreto,2025-08-01 22:39:27,2025-08-01 22:39:27,11112926916
52,Familiar,270.00,2,10,29,Ladrillo,Cemento,Concreto,2025-08-01 23:00:55,2025-08-01 23:00:55,11112985270
53,Familiar,200.00,2,5,2,Ladrillo,Cemento,Concreto,2025-08-05 15:31:55,2025-08-05 15:31:55,11112765503
54,Propia,270.00,1,7,52,Otro,Cemento,Lámina,2025-08-05 15:51:18,2025-08-05 15:51:18,11112792952
55,Propia,270.00,1,5,27,Ladrillo,Tierra,Lámina,2025-08-05 16:42:39,2025-08-05 16:42:39,11112973962
56,Propia,270.00,1,6,50,Ladrillo,Cemento,Otro,2025-08-05 17:03:14,2025-08-05 17:03:14,11112847319
57,Propia,270.00,1,7,1,Ladrillo,Cemento,Otro,2025-08-05 17:21:43,2025-08-05 17:21:43,11113115541
58,Propia,270.00,1,2,25,Ladrillo,Cemento,Concreto,2025-08-05 17:49:38,2025-08-05 17:49:38,11112905319
59,Familiar,270.00,1,2,25,Ladrillo,Cemento,Lámina,2025-08-05 17:59:04,2025-08-05 17:59:04,11112972021
60,Propia,270.00,1,3,25,Ladrillo,Cemento,Concreto,2025-08-05 18:14:46,2025-08-05 18:14:46,11113176710
61,Rentada,270.00,1,4,3,Ladrillo,Cemento,Concreto,2025-08-05 18:28:44,2025-08-05 18:28:44,11112744466
62,Familiar,270.00,1,2,4,Otro,Cemento,Lámina,2025-08-05 18:40:43,2025-08-05 18:40:43,11112846629
